iter	RMSEWithUncertainty
353	-3.835793579
354	-3.836073068
355	-3.836406978
356	-3.837104339
357	-3.837676822
358	-3.837776779
359	-3.838429214
360	-3.838596304
361	-3.838893531
362	-3.839248103
363	-3.839911543
364	-3.840411112
365	-3.841962169
366	-3.842775121
367	-3.842979326
368	-3.843201887
369	-3.843365823
370	-3.843648527
371	-3.843911761
372	-3.844493942
373	-3.845268945
374	-3.845429914
375	-3.845786642
376	-3.846181861
377	-3.846519352
378	-3.847044628
379	-3.847257913
380	-3.847705179
381	-3.848179409
382	-3.84847952
383	-3.848818904
384	-3.849120595
385	-3.849365902
386	-3.849926889
387	-3.850434777
388	-3.850914681
389	-3.851104227
390	-3.851355568
391	-3.851370563
392	-3.851719578
393	-3.852255926
394	-3.852615602
395	-3.853257986
396	-3.853686329
397	-3.853959477
398	-3.854362917
399	-3.855204707
400	-3.855811707
401	-3.856252141
402	-3.856661702
403	-3.857289091
404	-3.857503207
405	-3.857722325
406	-3.858022091
407	-3.85841235
408	-3.859452992
409	-3.859694483
410	-3.860274606
411	-3.860608066
412	-3.861310165
413	-3.861679485
414	-3.862233283
415	-3.862837258
416	-3.863341048
417	-3.863790552
418	-3.864280562
419	-3.86515545
420	-3.865374472
421	-3.865722955
422	-3.86591951
423	-3.866483106
424	-3.867119038
425	-3.867470595
426	-3.867807066
427	-3.868487012
428	-3.869040975
429	-3.869432704
430	-3.869983035
431	-3.870600636
432	-3.87084272
433	-3.871588782
434	-3.871986114
435	-3.872240715
436	-3.872647059
437	-3.873801763
438	-3.874470453
439	-3.874957117
440	-3.875688992
441	-3.876303463
442	-3.877136425
443	-3.877341093
444	-3.878097571
445	-3.87845079
446	-3.878780563
447	-3.879077828
448	-3.879427381
449	-3.879522795
450	-3.880085944
451	-3.880529522
452	-3.880831644
453	-3.881349041
454	-3.881775878
455	-3.882000902
456	-3.882442397
457	-3.882549522
458	-3.8830328
459	-3.883448582
460	-3.884122521
461	-3.884507677
462	-3.884819639
463	-3.885491998
464	-3.8859501
465	-3.886353415
466	-3.886862017
467	-3.887085301
468	-3.88746074
469	-3.888257784
470	-3.888140087
471	-3.888471559
472	-3.888801515
473	-3.889274045
474	-3.889764057
475	-3.890637981
476	-3.890962526
477	-3.891315214
478	-3.891799493
479	-3.891785029
480	-3.892352355
481	-3.892621017
482	-3.892977717
483	-3.893715886
484	-3.894098766
485	-3.895130593
486	-3.895936795
487	-3.896040375
488	-3.896377504
489	-3.8972206
490	-3.897776237
491	-3.898744971
492	-3.898940263
493	-3.89898144
494	-3.899068393
495	-3.899383471
496	-3.899893624
497	-3.900066286
498	-3.900604396
499	-3.901229976
500	-3.901446787
501	-3.901594328
502	-3.902728519
503	-3.903200025
504	-3.903896693
505	-3.904520759
506	-3.904783235
507	-3.905303518
508	-3.905561375
509	-3.905898749
510	-3.906070404
511	-3.90636915
512	-3.90680206
513	-3.907514663
514	-3.908137523
515	-3.909203016
516	-3.909655041
517	-3.90974622
518	-3.91012757
519	-3.911228975
520	-3.911811806
521	-3.912474467
522	-3.91261868
523	-3.912908862
524	-3.913197264
525	-3.913626995
526	-3.913972032
527	-3.914242208
528	-3.914814366
529	-3.915135744
530	-3.915389341
531	-3.915806526
532	-3.916213503
533	-3.916608748
534	-3.916984301
535	-3.917319052
536	-3.917565061
537	-3.918112814
538	-3.918685792
539	-3.919121841
540	-3.920091093
541	-3.920482765
542	-3.921013352
543	-3.92120036
544	-3.921591965
545	-3.922099916
546	-3.922890588
547	-3.92351503
548	-3.923802405
549	-3.924270305
550	-3.924543718
551	-3.924999532
552	-3.925729383
553	-3.926389223
554	-3.926426605
555	-3.926817048
556	-3.927368375
557	-3.928011014
558	-3.928074111
559	-3.92809177
560	-3.928346585
561	-3.929699376
562	-3.930078187
563	-3.930308978
564	-3.930534201
565	-3.930653937
566	-3.93027405
567	-3.931042969
568	-3.931208915
569	-3.931576948
570	-3.931866605
571	-3.932456163
572	-3.932515967
573	-3.93291452
574	-3.93323688
575	-3.933586656
576	-3.934017609
577	-3.934274281
578	-3.935020382
579	-3.935035061
580	-3.935190325
581	-3.935513571
582	-3.9357881
583	-3.936510672
584	-3.936747291
585	-3.937082503
586	-3.937271138
587	-3.937122692
588	-3.937615643
589	-3.937864409
590	-3.938363507
591	-3.938743515
592	-3.938708862
593	-3.939121564
594	-3.939582423
595	-3.939712377
596	-3.939992173
597	-3.940193455
598	-3.940439974
599	-3.941040456
600	-3.941390908
601	-3.942210962
602	-3.942838311
603	-3.943037391
604	-3.94332124
605	-3.943762995
606	-3.943799486
607	-3.944212331
608	-3.944550569
609	-3.944869731
610	-3.945108336
611	-3.945690015
612	-3.945950675
613	-3.946476017
614	-3.946792172
615	-3.947012909
616	-3.947317246
617	-3.947750084
618	-3.947942172
619	-3.948488089
620	-3.948637025
621	-3.949158978
622	-3.94947984
623	-3.949663732
624	-3.94989055
625	-3.949952298
626	-3.950316023
627	-3.950749355
628	-3.951120926
629	-3.951821398
630	-3.952498504
631	-3.953103418
632	-3.953457556
633	-3.954175426
634	-3.954492605
635	-3.954906728
636	-3.955712873
637	-3.956170504
638	-3.956373273
639	-3.957347681
640	-3.957656965
641	-3.958053212
642	-3.958266814
643	-3.958456454
644	-3.958738094
645	-3.95893317
646	-3.959225584
647	-3.959796588
648	-3.960019552
649	-3.96044367
650	-3.960704709
651	-3.960946013
652	-3.961149637
653	-3.961348534
654	-3.961674929
655	-3.961752621
656	-3.962676647
657	-3.962827322
658	-3.963031129
659	-3.963166192
660	-3.963377041
661	-3.963745946
662	-3.963994655
663	-3.964186925
664	-3.964464511
665	-3.965016856
666	-3.965288942
667	-3.965646279
668	-3.965879836
669	-3.965983003
670	-3.966411525
671	-3.966698826
672	-3.967283084
673	-3.96752354
674	-3.967749002
675	-3.968349898
676	-3.968413176
677	-3.968889685
678	-3.968914485
679	-3.969126819
680	-3.969307119
681	-3.969604366
682	-3.969721841
683	-3.970051643
684	-3.970684015
685	-3.970651744
686	-3.97086467
687	-3.970920007
688	-3.970605777
689	-3.970952443
690	-3.971437834
691	-3.97165086
692	-3.972096657
693	-3.97224224
694	-3.972780893
695	-3.972830768
696	-3.973086749
697	-3.97334513
698	-3.973681496
699	-3.974047961
700	-3.974516221
701	-3.974726455
702	-3.975633236
703	-3.976206846
704	-3.976587604
705	-3.977014214
706	-3.977287008
707	-3.977233448
708	-3.97744847
709	-3.977759732
710	-3.978072282
711	-3.978527351
712	-3.978842735
713	-3.978931618
714	-3.979257196
715	-3.97952406
716	-3.979887866
717	-3.980279751
718	-3.980440895
719	-3.980485656
720	-3.980720368
721	-3.980772689
722	-3.980861227
723	-3.981056487
724	-3.981266029
725	-3.981578148
726	-3.981874238
727	-3.982219686
728	-3.982672198
729	-3.983334191
730	-3.984096873
731	-3.984309339
732	-3.984756043
733	-3.985527346
734	-3.9857354
735	-3.985976114
736	-3.986413754
737	-3.986307473
738	-3.986632064
739	-3.98692799
740	-3.98770501
741	-3.987971533
742	-3.988299348
743	-3.988580886
744	-3.989130677
745	-3.989310526
746	-3.989543883
747	-3.9899049
748	-3.990260118
749	-3.990456844
750	-3.990517566
751	-3.990680003
752	-3.990911256
753	-3.991023732
754	-3.991403352
755	-3.991264697
756	-3.991381378
757	-3.992044388
758	-3.992452584
759	-3.992776582
760	-3.993224521
761	-3.993553497
762	-3.993865455
763	-3.994182136
764	-3.994380962
765	-3.994573338
766	-3.994809233
767	-3.99545254
768	-3.995927316
769	-3.996209363
770	-3.996322168
771	-3.99677494
772	-3.996901604
773	-3.997574781
774	-3.997689447
775	-3.998043335
776	-3.998318393
777	-3.998461058
778	-3.998754004
779	-3.998961575
780	-3.999148215
781	-3.998338568
782	-3.999125211
783	-3.999440672
784	-3.999583097
785	-3.99986471
786	-4.000037657
787	-4.000590559
788	-4.001074943
789	-4.001557643
790	-4.002245681
791	-4.002689165
792	-4.003196689
793	-4.003361568
794	-4.004251968
795	-4.004649459
796	-4.005595678
797	-4.005713255
798	-4.006016968
799	-4.006250617
800	-4.006511373
801	-4.006765752
802	-4.007129125
803	-4.00745309
804	-4.007897674
805	-4.008183804
806	-4.008713448
807	-4.009052108
808	-4.009583914
809	-4.010172194
810	-4.010203274
811	-4.010605685
812	-4.01072283
813	-4.010812147
814	-4.011161453
815	-4.011546019
816	-4.011936661
817	-4.012589891
818	-4.013024287
819	-4.013293318
820	-4.013485903
821	-4.013487375
822	-4.014410619
823	-4.014399716
824	-4.014849907
825	-4.01512635
826	-4.015248699
827	-4.015507054
828	-4.01573124
829	-4.015903265
830	-4.016100505
831	-4.016309054
832	-4.016549419
833	-4.017008974
834	-4.017119905
835	-4.017380042
836	-4.017879717
837	-4.01818726
838	-4.018173269
839	-4.018464757
840	-4.018879827
841	-4.019213699
842	-4.019199654
843	-4.019281263
844	-4.019582538
845	-4.0198204
846	-4.0200552
847	-4.020655282
848	-4.020789057
849	-4.021111246
850	-4.021579686
851	-4.022213615
852	-4.022560993
853	-4.022936412
854	-4.023265729
855	-4.023822709
856	-4.02422044
857	-4.024317809
858	-4.024514596
859	-4.025021335
860	-4.025253009
861	-4.02546716
862	-4.025715253
863	-4.026064796
864	-4.026319128
865	-4.026486479
866	-4.02658268
867	-4.026934696
868	-4.027198055
869	-4.027299818
870	-4.027664005
871	-4.028025589
872	-4.02815624
873	-4.028198252
874	-4.028443617
875	-4.029111263
876	-4.029289287
877	-4.029771051
878	-4.030226474
879	-4.030238387
880	-4.030580808
881	-4.031175124
882	-4.031010765
883	-4.031271322
884	-4.031508445
885	-4.031938482
886	-4.032272559
887	-4.032200624
888	-4.032675864
889	-4.032852745
890	-4.033146055
891	-4.033298544
892	-4.033362523
893	-4.033810059
894	-4.034202893
895	-4.03448555
896	-4.035004218
897	-4.03517286
898	-4.035471722
899	-4.035725234
900	-4.035929742
901	-4.036428138
902	-4.036459363
903	-4.03680227
904	-4.036677468
905	-4.037038483
906	-4.037123659
907	-4.037319519
908	-4.03716702
909	-4.037656536
910	-4.037856334
911	-4.038098947
912	-4.038392166
913	-4.038584425
914	-4.03879338
915	-4.038990673
916	-4.039129354
917	-4.039975903
918	-4.040021105
919	-4.04037614
920	-4.040516829
921	-4.040490829
922	-4.040509717
923	-4.04081603
924	-4.041247893
925	-4.041357865
926	-4.041740709
927	-4.042223449
928	-4.042414653
929	-4.042551684
930	-4.043013478
931	-4.042842829
932	-4.0430872
933	-4.043373431
934	-4.043461785
935	-4.043805048
936	-4.04437074
937	-4.044594874
938	-4.044817094
939	-4.045164526
940	-4.045592941
941	-4.045788
942	-4.046248108
943	-4.046781526
944	-4.047037831
945	-4.047137935
946	-4.047394293
947	-4.047737148
948	-4.047951192
949	-4.048481555
950	-4.048595417
951	-4.048731731
952	-4.048745751
953	-4.048929376
954	-4.049043062
955	-4.048867405
956	-4.049029313
957	-4.049045946
958	-4.049377086
959	-4.049524163
960	-4.049858889
961	-4.050088179
962	-4.050746879
963	-4.050948147
964	-4.050909205
965	-4.051096465
966	-4.051337038
967	-4.051728207
968	-4.052004332
969	-4.052219433
970	-4.053040741
971	-4.053328177
972	-4.053607824
973	-4.05383707
974	-4.054044252
975	-4.054603749
976	-4.055275398
977	-4.055369931
978	-4.055670005
979	-4.05601133
980	-4.056048641
981	-4.056122786
982	-4.056359855
983	-4.056105922
984	-4.056418594
985	-4.056826835
986	-4.056443606
987	-4.056848263
988	-4.057286026
989	-4.057547667
990	-4.057879225
991	-4.057862949
992	-4.058021406
993	-4.058291854
994	-4.058633277
995	-4.058936251
996	-4.059176732
997	-4.059088505
998	-4.059343692
999	-4.059036648
