iter	RMSE
0	219.7728637
1	215.7053924
2	212.3206267
3	209.2062027
4	205.7832208
5	202.3779977
6	199.4702921
7	196.6246582
8	193.7730742
9	190.6648264
10	187.9239214
11	184.7196708
12	182.0768106
13	179.4473071
14	176.9433081
15	174.3881776
16	172.302129
17	170.027043
18	167.7609268
19	165.5405323
20	163.6070404
21	161.0879285
22	159.3606057
23	157.1682359
24	155.2919301
25	153.1722858
26	151.2687912
27	149.3473576
28	147.6211588
29	145.8992033
30	143.8367559
31	142.3628479
32	140.739324
33	139.2381927
34	137.3805918
35	135.800775
36	134.284873
37	132.6463836
38	131.0971763
39	129.6619229
40	127.9362632
41	126.5043722
42	125.2395878
43	124.0013528
44	122.7385586
45	121.4760925
46	120.3299433
47	119.0340337
48	117.8121616
49	116.6808732
50	115.4887628
51	114.3906271
52	113.0889617
53	111.9217891
54	110.7788697
55	109.620983
56	108.6407389
57	107.5614977
58	106.4980556
59	105.4368161
60	104.4875635
61	103.4492742
62	102.5123701
63	101.5726526
64	100.7256483
65	99.81924898
66	98.78022736
67	97.80031623
68	96.88933268
69	96.01736272
70	95.31915477
71	94.58522455
72	93.79461434
73	93.0883884
74	92.31036745
75	91.56197386
76	90.85028053
77	90.1874975
78	89.51915909
79	88.7430598
80	88.15086971
81	87.5165943
82	86.85534814
83	86.09660679
84	85.38974859
85	84.84466232
86	84.26741663
87	83.58832555
88	83.04544343
89	82.5337334
90	81.91930584
91	81.34428918
92	80.71933684
93	80.17458689
94	79.65810889
95	79.23014561
96	78.61418713
97	78.07174309
98	77.58485075
99	76.98687067
100	76.41534533
101	75.87781594
102	75.34086542
103	74.93327749
104	74.4808222
105	74.02727375
106	73.60337167
107	73.13028632
108	72.68958443
109	72.28744075
110	71.8847966
111	71.44014991
112	71.02000664
113	70.57213236
114	70.15504134
115	69.71648067
116	69.27318509
117	68.87251173
118	68.50692957
119	68.12257773
120	67.80003517
121	67.42925043
122	67.08873563
123	66.73430993
124	66.37259878
125	65.97278408
126	65.64490467
127	65.27200204
128	64.92866435
129	64.621809
130	64.31032214
131	63.92772977
132	63.61225337
133	63.30978772
134	63.01161021
135	62.72938592
136	62.37790317
137	62.1064289
138	61.80809293
139	61.46134268
140	61.16886122
141	60.91039171
142	60.60840472
143	60.29071261
144	59.99630262
145	59.73902417
146	59.45080005
147	59.21261955
148	58.92562964
149	58.69144404
150	58.40722753
151	58.14022218
152	57.88624607
153	57.63129603
154	57.40001682
