iter	RMSE
0	220.9810982
1	218.2227692
2	215.7450647
3	213.3588088
4	210.448645
5	207.4205517
6	204.532037
7	201.8852957
8	198.7466993
9	195.7468023
10	192.8624597
11	190.5693627
12	188.2428616
13	186.3264017
14	183.8542489
15	181.6821424
16	179.7797759
17	178.2076832
18	176.1856513
19	173.9188886
20	171.671868
21	169.6432263
22	167.9517013
23	166.038745
24	163.8783457
25	161.9651399
26	160.2428121
27	158.1596797
28	156.7810675
29	155.7593888
30	153.8652157
31	152.1617854
32	151.0397678
33	149.479909
34	147.6709343
35	145.9408896
36	144.7271912
37	143.3694667
38	141.9581325
39	140.8579123
40	139.4857563
41	138.0760097
42	136.5231732
43	135.1964133
44	133.6949503
45	132.1669955
46	130.9280265
47	129.5362554
48	128.5640993
49	127.505227
50	126.2450945
51	125.096391
52	124.1177101
53	122.9822341
54	121.7526161
55	120.6503846
56	119.5697048
57	118.5333778
58	117.5372907
59	116.3990456
60	115.1892812
61	114.1349712
62	113.192345
63	112.1868929
64	111.0977852
65	110.2131085
66	109.0472617
67	107.9452632
68	107.0721763
69	106.2104737
70	105.1484545
71	104.242571
72	103.3212805
73	102.3498214
74	101.4536174
75	100.6395145
76	99.96607135
77	99.06596141
78	98.16161039
79	97.37359473
80	96.67989746
81	96.00951275
82	94.94159903
83	94.20964469
84	93.41097476
85	92.88125242
86	92.17338064
87	91.34575721
88	90.70393646
89	89.97680599
90	89.17143624
91	88.54005061
92	87.8944027
93	87.26422466
94	86.57407678
95	85.9463784
96	85.43979069
97	84.72568218
98	84.10767085
99	83.52591961
100	82.85377552
101	82.15504544
102	81.48729401
103	80.79179498
104	80.19853718
105	79.6679613
106	79.17892934
107	78.6189324
108	78.0099641
109	77.36041115
110	76.71780786
111	76.12845986
112	75.44601876
113	74.66180165
114	74.17022794
115	73.51853172
116	72.94565358
117	72.36738996
118	71.80176598
119	71.27549533
120	70.77140887
121	70.2579642
122	69.76806296
123	69.11008123
124	68.67270689
125	68.10732244
126	67.47308949
127	66.95827854
128	66.41105991
129	65.94657895
130	65.46530381
131	65.0002294
132	64.42889167
133	63.88503938
134	63.34712649
135	62.79619685
136	62.41291578
137	61.93002356
138	61.39195862
139	60.92225158
140	60.2901724
141	59.84136223
142	59.28096936
143	58.81923856
144	58.3595251
145	57.84287977
146	57.34237705
147	56.87752796
148	56.44014969
149	56.01298481
150	55.60320865
151	55.12910207
152	54.66920122
153	54.2828929
154	53.91784978
155	53.51824666
156	53.11106355
157	52.71314831
158	52.2866229
159	51.84869275
160	51.42799804
161	51.01119568
162	50.63713243
163	50.18981949
164	49.76195887
165	49.37393973
166	48.94787768
167	48.587572
168	48.20445029
169	47.80912913
170	47.42838731
171	47.04215827
172	46.62355729
173	46.25704949
174	45.92005774
175	45.54686469
176	45.18192712
177	44.80228023
178	44.43988111
179	44.0654505
180	43.7471497
181	43.34899395
182	43.01822504
183	42.64797744
184	42.34649345
185	42.01158758
186	41.70320272
187	41.40223802
188	41.05805653
189	40.75104361
190	40.46905787
191	40.14772065
